Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2007				2007				a_été_informée	Depuis 2006, aucune analyse sur ce puits n’a été présentée et, en 2007, l’Inspection a été informée que ce puits n’existait plus.		
2004	08	20		2004	08	20		a_été_réalisée	Une ESR a été réalisée suite à l'arrêté préfectoral du 20 août 2004.		
2006	04			2006	04			a_fait_procéder	-> BIAL IMMOBILIER SARL a fait procéder à une campagne de dépollution de cette zone par mise en œuvre d’un traitement des eaux souterraines sur deux périodes, début avril 2006 à fin septembre 2006 et début juin 2007 à mi-novembre 2007.		
2000	04	14		2000	04	14		a_été_imposée	Une surveillance semestrielle des eaux souterraines sur 3 puits présents sur le site a été imposée à l’exploitant par arrêté préfectoral n° 2000-AG/2-104 du 14 avril 2000.		
2007	11			2007	11			a_fait_procéder	-> BIAL IMMOBILIER SARL a fait procéder à une campagne de dépollution de cette zone par mise en œuvre d’un traitement des eaux souterraines sur deux périodes, début avril 2006 à fin septembre 2006 et début juin 2007 à mi-novembre 2007.		
2003				2003				Les_analyses	Les analyses qui ont été transmises à l’Inspection depuis 2003 révélaient une pollution par les HAP sur le puits « imprégnation » jusqu’en fin 2006 : une contamination à près de 10 fois la valeur de référence a été constatée.	'les HAP'	
2006	09			2006	09			a_fait_procéder	-> BIAL IMMOBILIER SARL a fait procéder à une campagne de dépollution de cette zone par mise en œuvre d’un traitement des eaux souterraines sur deux périodes, début avril 2006 à fin septembre 2006 et début juin 2007 à mi-novembre 2007.		
2006	05			2006	05			a_fait_procéder	-> La Société BIAL IMMOBILIER SARL a fait procéder en mai 2006 à l’inertage et à l’évacuation de la cuve à créosote par la Société MALEZIEUX.	'créosote'	'La Société BIAL IMMOBILIER', 'la Société MALEZIEUX'
1998	02	19		1998	02	19		Evaluation_simplifiée_des_risques	Evaluation simplifiée des risques demandée par Arrêté Préfectoral du 19 février 1998.		
2005				2005				a_changé_de_dénomination	En effet, en 2005, la Société BIAL WEIMERSKIRCH & Cie a changé de dénomination et est devenue la Société BIAL IMMOBILIER SARL.		'la Société BIAL WEIMERSKIRCH', 'la Société BIAL IMMOBILIER SARL'
2006	12			2006	12			un_rapport_daté	Ces investigations complémentaires, réalisées en juin et octobre 2006 ont fait l'objet d'un rapport daté de décembre 2006 remis à l'inspection courant janvier 2007.		
1983				1983				ont_cessé	Les activités scierie ont cessé en 1983 et l’activité d’imprégnation à la créosote en 1995.	'créosote'	
1898				1898				créée_en	La Société BIAL WEIMERSKIRCH & Cie, créée en 1898, était autorisée à exploiter, 30 rue d’Alsace à Florange, un établissement à usage de scierie, fabrication de caisses et palettes, fabrication de parquets, imprégnation et traitement des bois, commerce de bois, panneaux et dérivés avec aire de stockage des bois en grume, de bois sciés, contreplaqués, dérivés, isolants et divers notamment par les arrêtés préfectoraux suivants :		'La Société BIAL WEIMERSKIRCH'
