Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
1996	09	23		1996	09	23		était_régulièrement_autorisée_à_exploiter	Elle était régulièrement autorisée à exploiter ces activités par Arrêté préfectoral n° 17.810 du 23 septembre 1996.		
1965				1965				apparaît	Le dépôt de peinture exploité par les établissements GUILLAUMOND apparaît en 1965.		'Le dépôt de peinture', 'les établissements GUILLAUMOND'
2011	02	25		2011	02	25		la_réhabilitation	Cette cessation, effective le 30 septembre 2012, correspond au transfert des activités dans le cadre de la réhabilitation de la zone du Pont de l’Âne (DUP par arrêté préfectoral n°2011/86 du 25 février 2011).		
2007				2007				installé_sur_site	Un piézomètre installé sur site en 2007, jusqu’à 15 m de profondeur, n’a pas permis de rencontrer de venue d’eaux.		
2014	03	23		2014	03	23		une_inspection_sur_site	Suite à une inspection sur site le 23 mars 2014, l'inspection a rappelé à l'EPORA, dans son rapport du 1er avril 2014, la nécessité de réaliser les travaux de dépollution du site nécessaires à sa réhabilitation pour l’usage retenu et la nécessité de fournir les éléments justificatifs des opérations réalisées afin d’assurer la mise en sécurité complète du site conformément à l’arrêté préfectoral du 5 décembre 2012 et à l’article R. 512-39-1 du code de l’environnement.		"l' EPORA"
2012	06	29		2012	06	29		a_fait_parvenir	KELLER, a fait parvenir, en date du 29 juin 2012, un dossier de cessation d’activité.		'KELLER'
2012	09	30		2012	09	30		Cette_cessation	Cette cessation, effective le 30 septembre 2012, correspond au transfert des activités dans le cadre de la réhabilitation de la zone du Pont de l’Âne (DUP par arrêté préfectoral n°2011/86 du 25 février 2011).		
								était_en_champ	Jusqu’aux années 1960, la parcelle était en champ avec présence d’un petit bâtiment.		
1965				1965				ont_exercé	À compter de 1965, les Ets GUILLAUMOND ont exercé l’activité de fabrication de profilés (chaîne de traitement de surface et de peinture, maintenance, compresseurs, bennes déchets, transformateur pyralène).	'pyralène'	'les Ets GUILLAUMOND'
1826				1826				à	La seconde parcelle présentait 2 bâtiments à partir de 1826, un champ à compter des années 1940.		
1830				1830				était_exploitée	L’une était exploitée dès 1830 par les Mines de houille de Terrenoire (cokeries), le Puits Pierre et Salomon Joseph et Fils.		'les Mines de houille de Terrenoire'
2000				2000				est_utilisée	Depuis l’an 2000, la parcelle est utilisée par l’exploitant comme parking.		
