Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2009	03	19		2009	03	19		est_mise_en_demeure	Par arrêté préfectoral de 19 mars 2009, la société CLIP est mise en demeure de réaliser des investigations des sols.		'la société CLIP'
2011				2011				aux_études_réalisées	Suite aux études réalisées en fin 2010-début 2011 à la demande des deux sociétés CLIP et SCMMB afin de déterminer la migration des polluants dans la nappe phréatique, il a été mis en évidence que les voies de transfert de la pollution (migration des polluants de la nappe profonde ou du fossé à ciel ouvert du réseau communal des eaux pluviales de la zone industrielle de Thiron Gardais) étaient trop complexes pour établir un modèle de migration des pollutions vers le captage d'alimentation en eau potable (AEP).	'polluants', 'polluants'	'deux sociétés CLIP', 'SCMMB'
2011	11	21		2012	01	30		a_été_conduite	La phase pilote a été conduite du 21 novembre 2011 au 30 janvier 2012.		
2007	01			2007	01			ont_été_transmis	Des rapports de diagnostic des réseaux de collecte des eaux pluviales et des eaux industrielles du site, ont été transmis en janvier 2007.		
1996				1996				un_traitement_par_excavation	La source 4 a déjà fait l'objet d'un traitement par excavation et confinement sur site des terres polluées en 1996.		
2012	03			2012	03			La_campagne	La campagne de suivi de la qualité des eaux souterraines de mars 2012 indique :		
2012	02			2012	02			une_stabilisation	- une stabilisation ou une augmentation de la teneur en COHV dans la nappe supérieure depuis février 2012,	'COHV'	
2008	11	07		2008	11	07		a_du_conduire	Dans le cadre de l’élaboration de son document d’urbanisme prescrit par délibération du conseil municipal du 7 novembre 2008, la commune a du conduire une réflexion sur l’assainissement de la zone industrielle en terme de collecte, notamment des eaux pluviales.		
2011				2011				détectée	Aucune trace significative en BTEX et en hydrocarbures n'a été détectée lors des campagnes de 2011.	'BTEX', 'hydrocarbures'	
2011				2011				Un_allègement	Un allègement du suivi analytique est accordé par les services de l'inspection en 2011 suite aux résultats des prélèvements des campagnes précédentes:		
2010				2010				une_diminution	- une diminution des teneurs en trichloroéthylène et tétrachloroéthylène dans les eaux du forage AEP et de la source depuis l'été 2010.	'trichloroéthylène', 'tétrachloroéthylène'	
2011	04	20		2011	04	20		a_été_rachetée	La société CLIP a été rachetée par la société holding CIPELIA le 20 avril 2011.		'La société CLIP', 'la société holding CIPELIA'
2009	09	24		2009	09	24		est_demandé_l__entretien	Par arrêté préfectoral du 24 septembre 2009, il est demandé l'entretien des réseaux et le contrôle de leur étanchéité, une évaluation de l'impact sur les eaux souterraines, une interprétation de l'état des milieux, un plan de gestion de la pollution et une surveillance des eaux souterraines.		
2010				2010				est_mise_en_place	Une stratégie de surveillance commune est mise en place en 2010.		
2006				2006				es_campagnes_menées	es campagnes menées depuis 2006 indiquent la présence de BTEX, de COHV et de traces d'hydrocarbures dans les eaux.	'BTEX', 'COHV', 'hydrocarbures'	
2011				2011				des_campagnes	Aucune trace significative en BTEX et en hydrocarbures n'a été détectée lors des campagnes de 2011.	'BTEX', 'hydrocarbures'	
2010				2010				aux_études_réalisées	Suite aux études réalisées en fin 2010-début 2011 à la demande des deux sociétés CLIP et SCMMB afin de déterminer la migration des polluants dans la nappe phréatique, il a été mis en évidence que les voies de transfert de la pollution (migration des polluants de la nappe profonde ou du fossé à ciel ouvert du réseau communal des eaux pluviales de la zone industrielle de Thiron Gardais) étaient trop complexes pour établir un modèle de migration des pollutions vers le captage d'alimentation en eau potable (AEP).	'polluants', 'polluants'	'deux sociétés CLIP', 'SCMMB'
2004				2004				une_reconnaissance_des_sols	Dans le cadre d’une démarche interne, à l’occasion d’une cession-acquisition, une reconnaissance des sols a été menée en 2004 révélant l’existence d’une contamination des sols au voisinage des aires de dépotage de produits chimiques (présence de solvants polaires et de glycols).	'produits chimiques', 'solvants polaires', 'glycols'	
2003	06			2003	06			le_transit	Pour les besoins de ses activités de fabrication et conditionnement, la société CLIP approvisionne des produits chimiques : solvants polaires, composés monoaromatiques volatils, glycols, produits pétroliers légers et lourds et composés organohalogénés volatils, dont le transit sur le site, pour ces derniers, a définitivement cessé en juin 2003.	'produits chimiques', 'solvants polaires', 'composés monoaromatiques volatils', 'glycols', 'produits pétroliers légers', 'composés organohalogénés volatils'	'la société CLIP'
