Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2010	08			2010	08			évaluation_quantitative	L'évaluation quantitative des risques sanitaires (EQRS), réalisé en août 2010, indique que les calculs conduisent à des excès de risques supérieurs aux recommandations de la circulaire du 8 février 2007 concernant le scénario « ingestion de légumes auto-produits dans un jardin potager ».		
2006	06	1		2006	06	1		comportait	Mis à l'arrêt le 1er juin 2006, il comportait un stockage en vrac de céréales ainsi qu'une installation de séchage de céréales fonctionnant au fuel domestique.	'fuel'	
2006	06	1		2006	06	1		Mis_à_l__arrêt	Mis à l'arrêt le 1er juin 2006, il comportait un stockage en vrac de céréales ainsi qu'une installation de séchage de céréales fonctionnant au fuel domestique.	'fuel'	
2010	08			2010	08			Évaluation_Quantitative	Conformément aux conclusions de l'Évaluation Quantitative des Risques (EQRS) réalisée en août 2010, et aux recommandations émises le 19 mai 2011 par la société ANTEA GROUP, il convient d'imposer à l'exploitant, suite à la démolition des bâtiments de la partie A du site et par voie d'arrêté préfectoral, la réalisation :		'la société ANTEA GROUP'
2006	07	19		2006	07	19		la_cessation_définitive_d__activité_déclarée	Ainsi les sources de pollutions détectées lors du diagnostic initial ont été retirées pour permettre l'usage retenu dans le cadre de la cessation définitive d'activité déclarée le 19 juillet 2006.		
2011	03			2011	03			a_retiré	Suivant les recommandations de ce même bureau d'étude, l'exploitant a retiré, en mars 2011, les 2 cuves enterrées présentes sur le site et excavé les terres polluées.		
2007	12	19		2007	12	19		a_déclaré	Pour répondre à l'arrêté préfectoral de mise en demeure du 27 juillet 2007, la société CAPROGA La Meunière a déclaré, le 19 décembre 2007, avoir mis en sécurité son site.		'la société CAPROGA La Meunière'
2011	05	19		2011	05	19		émises	Conformément aux conclusions de l'Évaluation Quantitative des Risques (EQRS) réalisée en août 2010, et aux recommandations émises le 19 mai 2011 par la société ANTEA GROUP, il convient d'imposer à l'exploitant, suite à la démolition des bâtiments de la partie A du site et par voie d'arrêté préfectoral, la réalisation :		'la société ANTEA GROUP'
2010	09			2010	09			ont_été_effectuées	Toutefois, selon les recommandations du bureau d'étude et à la demande de l'inspection, des investigations complémentaires ont été effectuées en septembre 2010.		
2007	07	27		2007	07	27		a_déclaré	Pour répondre à l'arrêté préfectoral de mise en demeure du 27 juillet 2007, la société CAPROGA La Meunière a déclaré, le 19 décembre 2007, avoir mis en sécurité son site.		'la société CAPROGA La Meunière'
2012	03			2012	03			Le_rapport_proposant	Le rapport proposant l'arrêté préfectoral complémentaire devant imposer la surveillance de la nappe a été présenté au CODERST (COnseil Départemental de l'Environnement et des Risques Sanitaires et Technologiques) en mars 2012.		'CODERST', "COnseil Départemental de l'"
2011	04	05		2011	04	05		De_nouveaux_prélèvements_en_flancs_et_fond_de_fouilles_ont_également_été_réalisés	De nouveaux prélèvements en flancs et fond de fouilles ont également été réalisés le 5 avril 2011.		
2006	07	19		2006	07	19		ont_été_retirées	Ainsi les sources de pollutions détectées lors du diagnostic initial ont été retirées pour permettre l'usage retenu dans le cadre de la cessation définitive d'activité déclarée le 19 juillet 2006.		
2012	08			2012	08			Les_investigations_menées	Les investigations menées dans ce cadre, en août 2012, ont montré :		
1971				1971				exploité	Créé en 1956, ce site industriel constitue un complexe céréalier exploité depuis 1971 par la société CAPROGA La Meunière.		'la société CAPROGA La Meunière'
1999				1999				ne_sont_plus_exploités	Selon l'exploitant, les deux réservoirs enterrés ne sont plus exploités depuis 1999.		
2007	10			2007	10			a_été_réalisée	Les activités exploitées sur ce site, notamment celles relatives au stockage de fuel en réservoirs enterrés, ayant pu être à l'origine de pollution potentielle du sol et du sous-sol, une évaluation de la qualité des sols à partir de 4 sondages d'une profondeur comprise entre 3,4 et 5 m a été réalisée en octobre 2007.	'fuel'	
