Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2004	11	05		2004	11	05		a_fourni	La société TOTAL a fourni le rapport de suivi de la qualité de la nappe le 24/09/2004 et l’ESR le 5/11/2004.		'La société TOTAL'
2003	05	21		2003	05	21		un_diagnostic_initial	Suite à la cessation d'activité, la société TOTAL FRANCE a fait réaliser un diagnostic initial le 21/5/2003.		'la société TOTAL FRANCE'
2009	10			2009	10			A	A partir d’octobre 2009, le suivi des eaux souterraines a alors montré l’absence de phase libre sur le piézomètre Pz1.		
2003	09	19		2003	09	19		à	Des travaux d'excavation des terres polluées ont été mis en oeuvre à partir du 19/09/2003.		
2017	07			2017	07			Les_campagnes_de_surveillance	Les campagnes de surveillance d’octobre 2013 à juillet 2017 (3 campagnes depuis l’arrêt du traitement) ont confirmé la baisse de l’impact en hydrocarbures C10-C40 sur Pz1.	'hydrocarbures C10-C40'	
				2013	07			la_mise_en_place_d__un_traitement_in_situ	Toutefois, début 2012, l’évolution à la hausse des teneurs en hydrocarbures C10-C40 au droit de Pz1 a conduit à la mise en place d’un traitement in situ jusqu’en juillet 2013 (bioperlix), l’objectif étant de favoriser les phénomènes de biodégradation des hydrocarbures dissous afin d’atteindre des teneurs résiduelles acceptables.	'hydrocarbures C10-C40', 'hydrocarbures'	
2012				2012				la_mise_en_place_d__un_traitement_in_situ	Toutefois, début 2012, l’évolution à la hausse des teneurs en hydrocarbures C10-C40 au droit de Pz1 a conduit à la mise en place d’un traitement in situ jusqu’en juillet 2013 (bioperlix), l’objectif étant de favoriser les phénomènes de biodégradation des hydrocarbures dissous afin d’atteindre des teneurs résiduelles acceptables.	'hydrocarbures C10-C40', 'hydrocarbures'	
1994	04	29		1994	04	29		de_déclaration	La société TOTAL FRANCE exploitait sur ce site une station service qui bénéficiait d'un récépissé de déclaration en date du 29 avril 1994.		'La société TOTAL FRANCE'
2013	10			2013	10			Les_campagnes_de_surveillance	Les campagnes de surveillance d’octobre 2013 à juillet 2017 (3 campagnes depuis l’arrêt du traitement) ont confirmé la baisse de l’impact en hydrocarbures C10-C40 sur Pz1.	'hydrocarbures C10-C40'	
2003	09	19		2003	09	19		Des_travaux_d__excavation	Des travaux d'excavation des terres polluées ont été mis en oeuvre à partir du 19/09/2003.		
2004	04	20		2004	04	20		a_imposé	Sur proposition de l'inspection des installations classées, le préfet du Rhône a imposé à la société TOTAL de réaliser une Etude Simplifiée des Risques (ESR) et une surveillance de la nappe par arrêté préfectoral du 20/04/2004.		'le préfet du Rhône', 'la société TOTAL'
2005	11			2008	01			a_été_réalisée	Vu la présence d’une pollution localisée avec une lentille d’hydrocarbures de 16 cm (Pz1) de hauteur dans la nappe, un écrémage manuel des hydrocarbures au niveau de la lentille a été réalisée entre novembre 2005 et janvier 2008.	'une lentille d’', 'hydrocarbures', 'des hydrocarbures'	
2002	10	28		2002	10	28		a_fermé	La station a fermé le 28/10/2002.		
1994	04	29		1994	04	29		exploitait_sur	La société TOTAL FRANCE exploitait sur ce site une station service qui bénéficiait d'un récépissé de déclaration en date du 29 avril 1994.		'La société TOTAL FRANCE'
