Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2002	08			2002	08			ont_été_effectués	Les travaux d'enlèvement des fûts fuyards ou en très mauvais état ont été effectués en août 2002.		
2000	12	22		2000	12	22		ont_été_signés	Les 2 premiers AP ont été signés le 22/12/2000.		
2001	03	19		2001	03	19		prélevés	Les résultats des analyses obtenus sur des échantillons de sols prélevés le 19/03/2001 mettent en évidence une pollution aux hyrocarbures totaux et d'importantes concentrations en 3 Composés Organiques Volatils : le cis-1,2-dicchloroéthylène, le trichloroéthylène, et le tétracloroéthylène.	'hyrocarbures totaux', '3 Composés Organiques Volatils', 'le cis-1,2-dicchloroéthylène', 'le trichloroéthylène', 'le tétracloroéthylène'	
2001	11	09		2001	11	09		a_donné_son_accord	Par courrier du 9 novembre 2001, le Ministère de l'Aménagement du Territoire et de l'Environnement a donné son accord au Préfet de l'Isère pour charger l'ADEME d'exécuter d'office les travaux d'élimination des futs prioritaires pour un coût estimé à 153,97 k€.		"le Ministère de l' Aménagement du Territoire"
2006	07			2006	07			la_liquidation_judiciaire	La société Antipoll a déposé le bilan et la liquidation judiciaire a été clôturée en juillet 2006.		'La société Antipoll'
1999	10	12		1999	10	12		la_résorption	Suite à une visite d'inspection réalisée le 20/09/1999, la résorption du stock de fûts a été imposée par arrêté préfectoral de mise en demeure du 9/12/1999 à Maitre BILLIOUD, nommé liquidateur judiciaire par le jugement rendu par le Tribunal de Commerce de Vienne le 12/10/1999.		'Maitre BILLIOUD', 'le Tribunal de Commerce de Vienne'
1999	10	22		1999	10	22		a_été_laissé	A la cessation d'activité de la société, le 22/10/1999, un important stock de fûts (environ 2600 unités) a été laissé dans l'enceinte de l'établissement.		
1994	02	04		1994	02	04		a_été_réglementé	Suite à une inspection de l'administration réalisée le 16/11/1993, le nombre de fûts de solvants entreposés a été évalué à plus de 5000 unités et l'établissement, initialement soumis à déclaration, a été réglementé par arrêté préfectoral le 4/02/1994.	'fûts de solvants'	
2002	01	17		2002	01	17		ont_été_pris	Suite à une inspection du site le 17 janvier 2002, deux arrêtés préfectoraux datés du 12 avril 2002 ont été pris.		
1999	09	20		1999	09	20		une_visite_d__inspection_réalisée	Suite à une visite d'inspection réalisée le 20/09/1999, la résorption du stock de fûts a été imposée par arrêté préfectoral de mise en demeure du 9/12/1999 à Maitre BILLIOUD, nommé liquidateur judiciaire par le jugement rendu par le Tribunal de Commerce de Vienne le 12/10/1999.		'Maitre BILLIOUD', 'le Tribunal de Commerce de Vienne'
1975				1999				__a_exploité	La société Antipoll, située en zone industrielle du Rival, à La Côte St André,  a exploité de 1975 à 1999 un atelier de régénération de solvants usagés par entrainement à la vapeur.	'de solvants usagés'	'La société Antipoll'
2011	12	14		2011	12	14		Une_réunion	Une réunion du 14 décembre 2011 rassemblant des représentants de l'ADEME, de la DREAL et de la commune de La Côte Saint André a été organisée afin de restituer les résultats de l'étude de diagnostic et d'interprétation des milieux sur et dans l'environnement du site Antipoll, conformément aux dispositions de l'arrêté préfectoral n° 2007-11132 du 20 décembre 2007.		'la DREAL', 'la commune de La Côte Saint André'
1996				1996				a_engagé_la_résorption	La société Antipoll a engagé la résorption du stock de fûts en procédant à l'élimination de 960 fûts en 1996, 760 en 1997, 130 en 1998 et 530 en 1999.		'La société Antipoll'
2008				2008				La_deuxième_intervention	La deuxième intervention de l'ADEME en 2008 a permis de traiter quelques 330 tonnes de déchets organiques toxiques et 15 tonnes de sols fortement souillés.	'tonnes de déchets organiques toxiques'	
2007	12	20		2007	12	20		a_engagé_le_diagnostic_environnemental	Conformément aux dispositions de l'arrêté préfectoral n° 2007-11132 du 20 décembre 2007, l'ADEME a engagé le diagnostic environnemental du site et l'interprétation de l'état des milieux (IEM).		
