Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
1817				1817				créée	Usine de métallurgie lourde créée en 1817, comportant des ateliers d'aciérie, de forge, d'estampage, de traitement thermique, de traitement de surface, d'alliages légers, de parachèvement, d'usinage et une décharge interne (scories,….).		
2015	07	20		2015	07	20		Une_mise_à_jour	Une mise à jour de la situation administrative de ces activités (dont la fusion d'Aubert et Duval avec Airforge sur le même site) a été actée par arrêté préfectoral du 20 juillet 2015.		"d' Aubert", 'Airforge'
2002	07			2002	07			L__étude_de_sols_remise	L'étude de sols remise en juillet 2002 a permis d'identifier une contamination des sols par des hydrocarbures, des phénols, et des métaux ou métalloïdes (chrome, cuivre, plomb, nickel, arsenic) et classe le site en 2 (à surveiller) en raison de la présence d'usages sensibles des eaux dans le voisinage du site (puits à proximité latérale du site utilisés pour l'arrosage de jardins, pêche de loisirs sur l'Ariège, captage AEP en amont proche).	'hydrocarbures', 'des phénols', 'des métaux ou métalloïdes', 'chrome', 'cuivre', 'plomb', 'nickel', 'arsenic'	
1997				1997				l__exploitation	L'atelier d'aciérie a fermé en septembre 1996 et l'exploitation de la décharge interne a cessé en 1997.		
2005				2005				ce_réaménagement_a_été_effectué	Par ailleurs, les modalités du réaménagement de la décharge interne ont été actées dans un arrêté préfectoral complémentaire du 10 janvier 2003 ; ce réaménagement a été effectué en 2005 en respectant les modalités de l'arrêté préfectoral complémentaire susvisé.		
2006				2006				un_programme_de_recirculation	Depuis 2006, l'exploitant a engagé un programme de recirculation et de réutilisation de ses eaux industrielles afin de réduire au maximum ses rejets dans le milieu naturel.		
2002	07			2002	07			Cette_étude_remise	Cette étude remise en juillet 2002 propose un réaménagement par remodelage des pentes, couverture et aménagement paysager.		
2012				2012				a_été_complété	Le réseau a été complété par 4 nouveaux piézomètres en 2012 suite à un incident sur une cuve de stockage de bains usés de traitement de surfaces.	'cuve de stockage de bains usés'	
2002				2002				analyses_semestrielles	Le réseau de 11 piézomètres implanté sur le site fait l'objet d'analyses semestrielles depuis 2002.		
1996	09			1996	09			a_fermé	L'atelier d'aciérie a fermé en septembre 1996 et l'exploitation de la décharge interne a cessé en 1997.		
1996	04	03		1996	04	03		a_prescrit	Par ailleurs, compte tenu que les activités exercées sur le site tout au long de son histoire industrielle sont susceptibles d'avoir été à l'origine d'une pollution éventuelle du sol, un arrêté préfectoral complémentaire du 26 octobre 2000, pris conformément à la circulaire du 3 avril 1996, a prescrit à l'exploitant de réaliser un diagnostic initial et une évaluation simplifiée des risques sur ce site dans un délai de six mois.		
