Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
1999				1999				des_études_complémentaires	Afin d'accélérer et optimiser la dépollution, des études complémentaires ont été réalisées en 1999 et 2000 et ont conduit à la mise en œuvre, à partir de juillet 2001, d'un nouveau dispositif de traitement des poches de pollution par excavation des terres puis traitement des matériaux par venting.		
2004				2004				cours_de	L'arrêté préfectoral complémentaire du 23 février 2005 a prescrit des investigations complémentaires et la réalisation des travaux de dépollution nécessaires sur les nouvelles zones contaminées découvertes au cours de l'été 2004.		
2010	08			2010	08			ont_transmis	En août 2010, Les laboratoires Fournier ont transmis:		'Les laboratoires Fournier'
2002	02	28		2002	02	28		ces_travaux_a_été_transmis	Le rapport de réalisation de ces travaux a été transmis à la DRIRE le 28 février 2002, ainsi qu'une évaluation des risques sanitaires montrant que la remise en place des terres ainsi que l'arrêt des pompages de dépollution n'engendreraient pas d'impact significatif.		'la DRIRE'
2006	05			2006	05			ont_fourni	Les Laboratoires Fournier ont fourni le rapport de synthèse des travaux de dépollution en mai 2006.		
1991				1991				des_équipements_de_dépollution	Depuis 1991, date de la découverte de la pollution, des équipements de dépollution ont été mis en place (barrage hydraulique et stripping).		
2005	10	18		2005	10	18		L__inspection	L'inspection du 18 octobre 2005 a permis de constater l'état d'avancement des travaux et le respect des prescriptions de l'arrêté du 23 février 2005.		
2005	02	23		2005	02	23		ont_procédé_à_la_surveillance	Conformément aux prescriptions de l'arrêté préfectoral du 23 février 2005, les Laboratoires Fournier ont procédé à la surveillance de la qualité des eaux souterraines au droit du site, en aval et au niveau des captages d'alimentation en eau potable des Bîmes.		
2000				2000				des_études_complémentaires	Afin d'accélérer et optimiser la dépollution, des études complémentaires ont été réalisées en 1999 et 2000 et ont conduit à la mise en œuvre, à partir de juillet 2001, d'un nouveau dispositif de traitement des poches de pollution par excavation des terres puis traitement des matériaux par venting.		
1999	12	31		1999	12	31		a_cessé	L'activité industrielle a cessé sur le site le 31 décembre 1999 mais toutes les opérations de dépollution se sont poursuivies au delà.		
2001	07			2001	07			la_mise_en_œuvre	Afin d'accélérer et optimiser la dépollution, des études complémentaires ont été réalisées en 1999 et 2000 et ont conduit à la mise en œuvre, à partir de juillet 2001, d'un nouveau dispositif de traitement des poches de pollution par excavation des terres puis traitement des matériaux par venting.		
2003	04			2003	04			la_remise_en_place_des_terres_traitées	Le Préfet des Yvelines a autorisé en avril 2003 la remise en place des terres traitées.		'Le Préfet des Yvelines'
2004				2004				a_prescrit_des_investigations_complémentaires	L'arrêté préfectoral complémentaire du 23 février 2005 a prescrit des investigations complémentaires et la réalisation des travaux de dépollution nécessaires sur les nouvelles zones contaminées découvertes au cours de l'été 2004.		
2004				2004				les_travaux_de_démolition	Au cours de l'été 2004, les travaux de démolition des dalles bétonnées encore présentes au droit du site ont été entrepris.		
